Time,WS10,WD10,T2,TD2,P_sfc
2021-01-13_12:00:00,3.210143,61.082153,15.421295,10.696665,101446.8984
2021-01-13_13:00:00,2.552894,67.735672,14.684845,9.988493,101475.9844
2021-01-13_14:00:00,2.762305,75.936012,12.968292,9.543961,101460.8516
2021-01-13_15:00:00,1.706731,77.239616,11.607391,9.487035,101449.2031
2021-01-13_16:00:00,1.616307,106.051514,10.817139,9.073969,101397.0859
2021-01-13_17:00:00,1.284939,141.116104,10.223816,9.403529,101423.8672
2021-01-13_18:00:00,1.006775,192.473862,9.448547,9.43223,101408.5859
2021-01-13_19:00:00,2.259591,181.673111,9.380249,9.33717,101379.2422
2021-01-13_20:00:00,2.260341,243.915588,9.406281,9.348964,101299.2813
2021-01-13_21:00:00,0.931503,5.960266,8.947357,8.891562,101228.8906
2021-01-13_22:00:00,2.033389,75.742744,8.779175,8.612868,101157.5078
2021-01-13_23:00:00,1.640873,95.12204,8.63916,8.277436,101090.7188
2021-01-14_00:00:00,1.943261,93.682106,8.900208,7.049913,101043.75
2021-01-14_01:00:00,0.625946,358.901001,9.092438,5.736315,101009.9922
2021-01-14_02:00:00,0.919334,231.110123,10.050415,4.06746,101021.8906
2021-01-14_03:00:00,1.216097,317.090088,8.463409,7.220684,101070.0547
2021-01-14_04:00:00,2.05426,105.033829,9.064972,7.161689,100967.1094
2021-01-14_05:00:00,4.986926,169.412231,14.116425,0.155956,100837.4141
2021-01-14_06:00:00,6.30399,186.857239,19.237976,-4.093822,100927.9844
2021-01-14_07:00:00,6.758297,188.873306,21.008209,-6.186785,100963.0156
2021-01-14_08:00:00,8.241399,191.347443,22.730713,-6.363136,100895.0469
2021-01-14_09:00:00,8.489237,195.381271,23.657837,-7.160455,100767.4219
2021-01-14_10:00:00,8.572946,200.472702,24.307953,-7.13445,100930.2188
2021-01-14_11:00:00,7.80638,207.184692,24.341095,-7.017896,100796.1484
2021-01-14_12:00:00,5.939965,214.752975,23.484589,-5.650895,100877.1563
2021-01-14_13:00:00,4.927876,217.060059,22.725586,-5.230684,100816.0859
2021-01-14_14:00:00,4.320336,209.584747,21.689484,-6.713307,100801.0859
2021-01-14_15:00:00,2.744775,205.036072,20.364685,-7.261559,100730.8359
2021-01-14_16:00:00,1.543438,210.335938,19.02066,-5.884616,101049.8281
2021-01-14_17:00:00,4.768331,196.036102,20.862762,-6.238173,101112.0156
2021-01-14_18:00:00,5.864502,206.233917,21.044556,-5.660126,101027.8984
2021-01-14_19:00:00,5.493328,203.281952,20.747528,-5.476028,100980.9219
2021-01-14_20:00:00,4.428057,195.379623,20.350128,-5.803874,101225.4141
2021-01-14_21:00:00,3.874748,203.676849,19.771484,-6.335969,100546.0391
2021-01-14_22:00:00,3.538746,219.217377,18.816589,-6.882172,100586.6094
2021-01-14_23:00:00,1.397843,109.682564,17.436249,-6.690174,100969.2891
2021-01-15_00:00:00,0.566533,278.940582,16.861359,-6.937907,101068.6563
2021-01-15_01:00:00,2.162387,235.706589,17.073761,-7.753059,100435.7891
2021-01-15_02:00:00,4.456818,242.68364,17.650879,-8.113131,100695.1641
2021-01-15_03:00:00,3.851029,240.669525,16.439545,-8.042721,100692.9609
2021-01-15_04:00:00,3.305539,264.510162,15.853973,-8.42495,100852.0547
2021-01-15_05:00:00,5.08493,221.049423,17.911133,-8.119128,100997.5156
2021-01-15_06:00:00,6.493473,217.755554,20.760925,-7.06528,101027.3125
2021-01-15_07:00:00,7.375048,215.27417,21.101257,-6.567646,101032.6641
2021-01-15_08:00:00,7.72455,209.761566,20.227875,-2.456174,100864.7656
2021-01-15_09:00:00,8.241727,216.250275,20.553833,1.23368,101221.75
2021-01-15_10:00:00,10.130964,222.084351,21.332123,1.970586,100798.0547
2021-01-15_11:00:00,9.32936,215.886734,21.481903,2.479274,101313.1719
2021-01-15_12:00:00,9.541102,231.477234,21.160675,4.043254,100649.7266
2021-01-15_13:00:00,7.406961,231.939392,20.617828,4.407852,101464.6172
2021-01-15_14:00:00,5.355856,232.834473,19.63443,4.333848,101147.1719
2021-01-15_15:00:00,2.737927,220.668762,18.591949,4.116533,101261.8438
2021-01-15_16:00:00,3.030385,263.057953,17.322632,4.452875,100877.8438
2021-01-15_17:00:00,2.282282,112.574921,16.538818,4.422285,101840.4531
2021-01-15_18:00:00,0.046984,63.867966,15.648346,3.365135,101123.8047
2021-01-15_19:00:00,1.344913,43.341461,14.99823,3.215127,101661.2734
2021-01-15_20:00:00,0.566148,51.298889,14.129028,4.155017,101262.2422
2021-01-15_21:00:00,1.631965,19.668686,13.635468,4.272604,102034.6875
2021-01-15_22:00:00,1.597613,226.643036,12.956421,4.533558,101581.2891
2021-01-15_23:00:00,1.669679,339.369507,12.318146,4.599055,102014.8281
2021-01-16_00:00:00,1.319368,59.632935,11.808807,6.531273,102172.2188
2021-01-16_01:00:00,0.453345,194.947433,11.347839,6.914482,101795.8906
2021-01-16_02:00:00,1.673316,302.102112,10.983032,7.062405,101236.1406
2021-01-16_03:00:00,1.421227,147.949677,10.68045,6.846091,101810.0859
2021-01-16_04:00:00,1.219547,246.757614,10.378021,5.27632,101095.1484
2021-01-16_05:00:00,2.762829,148.710159,12.700958,2.619538,101879.8984
2021-01-16_06:00:00,2.549693,168.244888,15.210266,1.023049,101878.6875
2021-01-16_07:00:00,3.061334,155.714462,17.366302,1.207463,102376.625
2021-01-16_08:00:00,0.467609,180.370026,18.889954,0.797997,101712.1797
2021-01-16_09:00:00,2.172506,278.543823,20.470062,0.236544,101228.7266
2021-01-16_10:00:00,1.847302,275.605896,21.726746,-0.679008,101030.8516
2021-01-16_11:00:00,2.626371,314.070953,22.297577,-0.11989,101174.25
2021-01-16_12:00:00,4.067584,101.236534,20.840546,4.094662,101075.5234
