Z(m),WS(knots),WD(deg),Theta(K),Td(C),T(C)
 1369.40,  6.32,155.68,  293.55,-14.90,  8.41
 1377.96, 10.16,159.02,  294.33,-15.27,  9.09
 1387.90, 11.99,160.11,  294.80,-15.49,  9.43
 1399.40, 13.66,160.69,  295.26,-15.74,  9.77
 1412.67, 15.32,160.56,  295.78,-16.09, 10.14
 1427.94, 16.18,159.63,  296.31,-16.49, 10.49
 1445.46, 16.61,158.23,  296.84,-16.96, 10.83
 1465.51, 16.75,156.62,  297.28,-17.34, 11.05
 1488.38, 16.74,155.12,  297.60,-17.55, 11.14
 1514.38, 16.61,153.83,  297.83,-17.67, 11.10
 1543.86, 16.33,152.64,  298.01,-17.75, 10.98
 1577.19, 15.95,151.67,  298.18,-17.85, 10.82
 1614.75, 15.56,151.21,  298.36,-17.97, 10.63
 1656.99, 15.19,151.58,  298.56,-18.15, 10.41
 1704.34, 14.88,153.09,  298.78,-18.38, 10.15
 1757.30, 14.63,155.89,  299.04,-18.67,  9.88
 1816.36, 14.47,160.09,  299.33,-19.03,  9.58
 1882.08, 14.41,165.70,  299.66,-19.46,  9.25
 1955.00, 14.48,172.46,  300.01,-19.94,  8.87
 2035.72, 14.65,179.92,  300.37,-20.47,  8.42
 2124.85, 14.91,187.51,  300.72,-21.01,  7.88
 2223.02, 15.22,194.69,  301.06,-21.57,  7.23
 2330.90, 15.55,201.11,  301.39,-22.17,  6.49
 2449.18, 15.91,206.62,  301.75,-22.85,  5.66
 2578.60, 16.42,211.21,  302.15,-23.68,  4.77
 2719.98, 17.23,214.93,  302.61,-24.70,  3.82
 2874.20, 18.44,217.83,  303.15,-25.97,  2.80
 3042.19, 19.99,220.01,  303.75,-27.42,  1.71
 3225.01, 21.63,221.68,  304.40,-28.90,  0.51
 3423.82, 23.05,223.09,  305.07,-30.16, -0.83
 3639.91, 24.12,224.40,  305.77,-30.94, -2.31
 3874.78, 24.93,225.62,  306.49,-31.18, -3.97
 4130.16, 25.56,226.76,  307.21,-31.08, -5.83
 4408.07, 25.93,228.06,  307.92,-30.93, -7.92
 4710.93, 25.92,229.71,  308.65,-30.96,-10.25
 5041.68, 25.75,231.31,  309.44,-31.09,-12.80
 5403.99, 26.07,232.09,  310.38,-30.71,-15.55
 5802.49, 27.71,231.87,  311.47,-29.01,-18.54
 6242.96, 30.79,230.91,  312.69,-27.16,-21.84
 6732.88, 34.09,230.15,  314.42,-27.62,-25.23
 7282.05, 36.68,232.24,  316.63,-30.82,-28.85
 7902.96, 39.90,238.55,  318.88,-35.55,-33.17
 8611.33, 44.00,244.21,  320.61,-41.70,-38.78
 9428.28, 47.76,248.47,  321.73,-49.40,-45.91
10389.11, 52.31,258.05,  325.15,-57.65,-52.87
11559.27, 57.75,268.43,  334.64,-67.07,-57.90
13028.37, 61.67,270.83,  349.75,-77.73,-62.62
14959.57, 65.02,262.06,  372.40,-80.45,-67.93
17890.87, 64.12,252.85,  429.33,-80.45,-65.42
25038.93, 56.72,263.46,  557.50,-80.45,-62.86
