Z(m),WS(knots),WD(deg),Theta(K),Td(C),T(C)
 1166.01,  1.99,  4.76,  287.66, -4.24,  4.79
 1174.49,  2.88, 12.46,  289.19, -4.54,  6.18
 1184.37,  2.85, 30.56,  290.67, -4.90,  7.52
 1195.81,  2.79, 37.02,  291.11, -4.95,  7.82
 1209.01,  2.70, 39.46,  291.18, -5.02,  7.77
 1224.18,  2.32, 41.11,  291.28, -5.16,  7.71
 1241.57,  1.59, 49.45,  291.41, -5.37,  7.67
 1261.44,  1.07, 77.51,  291.55, -5.60,  7.61
 1284.10,  1.08,112.28,  291.65, -5.80,  7.49
 1309.86,  1.28,126.83,  291.79, -5.95,  7.37
 1339.08,  1.43,131.12,  292.00, -6.02,  7.28
 1372.13,  1.62,131.78,  292.29, -5.89,  7.24
 1409.43,  1.92,132.56,  292.66, -5.60,  7.23
 1451.42,  2.33,135.38,  293.11, -5.34,  7.25
 1498.58,  2.74,139.70,  293.59, -5.28,  7.25
 1551.41,  2.98,144.27,  294.08, -5.41,  7.20
 1610.42,  2.98,148.10,  294.59, -5.65,  7.11
 1676.18,  2.75,149.86,  295.14, -6.05,  7.00
 1749.28,  2.32,148.16,  295.76, -6.68,  6.87
 1830.34,  1.63,139.79,  296.43, -7.56,  6.72
 1920.04,  0.88,109.63,  297.20, -8.55,  6.57
 2019.08,  0.75, 53.44,  298.07, -9.49,  6.42
 2128.23,  0.72,  8.50,  298.98,-10.67,  6.21
 2248.25,  1.78,298.71,  299.88,-12.22,  5.88
 2379.95,  4.43,278.43,  300.65,-12.94,  5.31
 2524.18,  6.59,269.74,  301.50,-13.60,  4.69
 2681.90,  8.37,264.52,  302.37,-14.82,  3.95
 2854.09, 10.15,259.13,  303.15,-15.82,  2.99
 3041.82, 11.98,253.89,  303.91,-16.63,  1.84
 3246.31, 13.85,249.75,  304.74,-17.51,  0.60
 3468.94, 15.38,248.14,  305.59,-18.57, -0.81
 3711.22, 16.43,248.48,  306.34,-19.94, -2.52
 3974.85, 17.42,248.57,  307.10,-21.85, -4.41
 4261.92, 17.94,248.60,  307.96,-24.23, -6.46
 4574.95, 17.58,248.66,  308.91,-26.87, -8.70
 4916.87, 16.59,247.44,  309.85,-29.83,-11.23
 5291.15, 15.61,243.82,  310.70,-33.07,-14.17
 5702.02, 15.66,239.94,  311.51,-36.54,-17.50
 6154.88, 17.29,238.57,  312.49,-40.68,-21.12
 6657.08, 19.78,242.57,  314.07,-45.16,-24.76
 7218.38, 20.07,253.27,  316.22,-47.33,-28.55
 7850.51, 20.00,269.19,  317.91,-45.63,-33.41
 8567.62, 21.56,283.79,  318.82,-48.14,-39.72
 9390.51, 25.63,288.71,  320.14,-53.58,-46.77
10353.81, 32.83,284.46,  323.52,-59.64,-53.77
11520.63, 41.57,275.40,  333.05,-67.36,-58.76
12984.21, 49.36,263.46,  349.54,-75.57,-62.57
14920.48, 56.25,253.98,  375.59,-80.45,-66.00
17874.18, 58.73,254.50,  433.77,-80.45,-63.11
25008.60, 56.48,263.52,  555.47,-80.45,-63.47
