Z(m),WS(knots),WD(deg),Theta(K),Td(C),T(C)
 1369.29,  9.40,221.45,  288.10,  0.43,  2.48
 1377.62, 11.59,218.79,  288.38,  0.40,  2.69
 1387.28, 12.77,215.22,  288.71,  0.37,  2.90
 1398.45, 13.25,211.48,  289.22,  0.34,  3.29
 1411.34, 13.23,208.90,  289.77,  0.29,  3.67
 1426.17, 12.75,206.77,  290.12,  0.24,  3.86
 1443.17, 11.60,205.04,  290.33,  0.17,  3.91
 1462.60,  9.89,203.74,  290.56,  0.10,  3.93
 1484.74,  8.56,202.47,  290.87,  0.01,  4.01
 1509.92,  8.15,201.01,  291.16, -0.07,  4.05
 1538.46,  8.68,199.51,  291.33, -0.11,  3.92
 1570.71,  9.79,198.78,  291.45, -0.14,  3.73
 1607.04, 11.14,198.94,  291.60, -0.18,  3.52
 1647.86, 12.75,199.83,  291.79, -0.25,  3.30
 1693.61, 14.59,201.40,  292.05, -0.38,  3.10
 1744.75, 16.49,203.64,  292.36, -0.60,  2.89
 1801.76, 18.29,206.50,  292.70, -0.92,  2.66
 1865.14, 19.84,209.79,  293.03, -1.35,  2.36
 1935.41, 21.11,213.25,  293.34, -1.85,  1.95
 2013.10, 22.11,216.57,  293.59, -2.41,  1.44
 2098.74, 22.87,219.45,  293.82, -3.03,  0.81
 2192.93, 23.44,221.71,  294.02, -3.73,  0.08
 2296.24, 23.87,223.35,  294.22, -4.53, -0.74
 2409.32, 24.12,224.64,  294.45, -5.47, -1.62
 2532.82, 24.19,225.89,  294.73, -6.61, -2.58
 2667.46, 24.08,227.28,  295.04, -8.01, -3.60
 2814.01, 23.90,228.74,  295.42, -9.74, -4.69
 2973.30, 23.85,230.01,  295.87,-11.89, -5.83
 3146.28, 24.16,230.88,  296.43,-14.56, -7.02
 3334.03, 25.00,231.49,  297.10,-17.81, -8.25
 3537.79, 26.41,232.32,  297.91,-21.59, -9.52
 3759.06, 28.28,233.75,  298.84,-25.48,-10.86
 3999.56, 30.49,235.58,  299.87,-28.69,-12.31
 4261.32, 32.83,236.97,  300.93,-30.43,-13.95
 4546.73, 34.89,237.10,  301.96,-30.66,-15.86
 4858.59, 36.34,235.85,  302.87,-30.14,-18.14
 5200.26, 37.37,233.97,  303.67,-29.81,-20.81
 5575.97, 38.77,232.90,  304.52,-30.50,-23.78
 5991.37, 41.46,233.80,  305.82,-32.81,-26.79
 6454.21, 45.96,236.58,  307.96,-37.11,-29.61
 6974.99, 52.17,240.42,  311.09,-43.45,-32.26
 7567.73, 60.07,245.35,  315.19,-52.22,-34.93
 8251.13, 70.57,251.77,  320.04,-65.55,-38.01
 9050.85, 83.98,258.81,  325.46,-80.45,-41.95
10005.65, 98.03,264.64,  332.35,-80.45,-46.54
11182.47,106.79,268.12,  344.34,-80.45,-50.13
12687.95,102.05,269.24,  368.83,-80.27,-49.56
14748.07, 80.26,265.91,  412.74,-80.45,-44.12
17939.70, 51.58,250.07,  474.98,-80.45,-41.83
25076.75, 37.90,212.24,  548.87,-80.45,-64.68
