Time,WS10,WD10,T2,TD2,P_sfc
2021-01-15_12:00:00,6.847046,199.977448,21.471619,3.551069,100629.1719
2021-01-15_13:00:00,4.694091,199.507446,21.09079,0.412805,100744.1797
2021-01-15_14:00:00,6.714965,201.137146,20.112885,0.470622,100838.7422
2021-01-15_15:00:00,4.994532,204.926865,19.092804,0.487371,101049.4844
2021-01-15_16:00:00,2.003707,318.473816,16.563904,0.238176,101145.7891
2021-01-15_17:00:00,2.954084,65.193855,13.991089,6.848484,101323.9688
2021-01-15_18:00:00,1.908149,76.39138,12.97464,6.972454,101463.4141
2021-01-15_19:00:00,1.634758,152.242645,12.220337,7.274143,101614.2344
2021-01-15_20:00:00,1.417143,49.057968,11.592072,7.341825,101601.4844
2021-01-15_21:00:00,1.031435,346.378265,10.944519,7.379585,101503.6953
2021-01-15_22:00:00,1.330235,345.535583,10.313568,7.657683,101735.1953
2021-01-15_23:00:00,1.214691,124.481537,9.787537,7.853854,101864.4219
2021-01-16_00:00:00,0.694775,212.069748,9.422089,8.156318,101950.8516
2021-01-16_01:00:00,1.17198,185.311584,9.039917,7.805354,101568.6094
2021-01-16_02:00:00,1.480936,202.947723,8.804626,7.601744,101847.8281
2021-01-16_03:00:00,1.236783,226.542587,8.510468,7.810938,101639.1172
2021-01-16_04:00:00,0.687056,306.129395,8.077271,6.431976,101709.1484
2021-01-16_05:00:00,1.907357,151.425552,10.791199,3.665332,101723.9844
2021-01-16_06:00:00,4.731071,127.476501,15.397186,0.695448,102051.9609
2021-01-16_07:00:00,4.370631,140.145752,17.376923,0.283698,101998.7734
2021-01-16_08:00:00,3.190938,171.212051,18.206757,0.875314,101184.9063
2021-01-16_09:00:00,2.430524,196.817139,19.335724,0.397388,101621.6094
2021-01-16_10:00:00,0.667592,214.769547,20.236053,-0.033578,101251.4844
2021-01-16_11:00:00,4.977451,105.034447,20.862305,2.666944,101857.9688
2021-01-16_12:00:00,4.491084,96.756371,18.902405,6.636548,101209.5078
2021-01-16_13:00:00,5.105572,103.979828,17.319336,7.705838,101947.2734
2021-01-16_14:00:00,1.797754,100.173546,16.114014,8.490905,101798.7188
2021-01-16_15:00:00,1.359058,355.659607,14.147858,9.58227,101567.8047
2021-01-16_16:00:00,2.676436,276.333588,12.161438,10.162559,101038.875
2021-01-16_17:00:00,1.51811,239.536545,10.807434,10.265801,101775.7422
2021-01-16_18:00:00,1.654625,242.214127,10.316833,9.894661,101826.6953
2021-01-16_19:00:00,2.185063,278.959778,10.130676,9.841285,101355.8984
2021-01-16_20:00:00,1.499265,270.895203,9.899841,9.687519,101187.2422
2021-01-16_21:00:00,0.77248,56.900597,9.74295,9.593361,101532.9063
2021-01-16_22:00:00,0.371421,200.215622,9.641388,9.350595,101246.9688
2021-01-16_23:00:00,1.647848,245.468002,9.58725,9.052607,100952.4688
2021-01-17_00:00:00,0.364693,280.91449,9.500122,8.939877,101572.2969
2021-01-17_01:00:00,0.840478,259.261108,9.403748,8.750298,101298.4688
2021-01-17_02:00:00,1.439256,282.92981,9.388641,9.073688,101241.7969
2021-01-17_03:00:00,1.381406,245.19339,9.526978,9.317739,101095.1875
2021-01-17_04:00:00,1.455593,260.118195,9.65741,9.184963,101090.8516
2021-01-17_05:00:00,0.472306,152.174805,10.014679,8.903695,100982.8438
2021-01-17_06:00:00,0.425268,357.228638,11.170441,8.656054,100757.8984
2021-01-17_07:00:00,1.936367,93.403145,13.45932,8.022193,101323.5469
2021-01-17_08:00:00,1.854522,207.266525,15.892029,6.841229,100736.2734
2021-01-17_09:00:00,3.98825,234.68103,18.688843,4.368101,100631.1484
2021-01-17_10:00:00,1.646389,346.197845,18.221069,7.238194,101034.1563
2021-01-17_11:00:00,3.179552,339.195923,16.121094,9.608065,101253.3594
2021-01-17_12:00:00,3.165851,321.473846,14.763733,8.867061,100788.5
2021-01-17_13:00:00,2.389844,345.825256,14.042511,8.958509,100969.4531
2021-01-17_14:00:00,1.972626,58.09726,12.369415,9.1294,101328.4453
2021-01-17_15:00:00,0.303899,324.468445,11.535522,9.473897,100712.375
2021-01-17_16:00:00,0.73057,46.35762,11.545654,9.527534,101175.3359
2021-01-17_17:00:00,0.693666,133.559479,11.386627,7.301628,100939.1484
2021-01-17_18:00:00,2.42391,243.636078,11.241852,6.060266,100565.1953
2021-01-17_19:00:00,1.494392,295.728271,11.347595,3.876522,100721.5781
2021-01-17_20:00:00,3.637782,189.904572,13.17276,-0.862287,101367.2266
2021-01-17_21:00:00,6.530555,186.282379,14.771149,-1.510531,100091.9922
2021-01-17_22:00:00,4.307077,200.625839,14.3974,-1.103487,100643.3203
2021-01-17_23:00:00,5.304093,171.232254,15.281128,-0.837929,101235.6797
2021-01-18_00:00:00,6.432619,176.514343,16.088531,-0.689067,101144.3047
2021-01-18_01:00:00,5.280017,186.54422,15.656464,-0.421078,100816.6953
2021-01-18_02:00:00,7.587128,184.606522,16.560455,-0.736472,100755.8281
2021-01-18_03:00:00,7.436764,205.320221,16.582275,-0.505848,100429.3906
2021-01-18_04:00:00,9.870896,198.419601,17.093536,-0.305387,101029.5781
2021-01-18_05:00:00,11.679803,203.63797,17.898499,0.091476,100468.75
2021-01-18_06:00:00,4.281347,210.80954,19.133453,-0.239568,100916.9141
2021-01-18_07:00:00,8.732237,213.435242,20.290314,-0.088778,100651.6953
2021-01-18_08:00:00,9.197735,212.491653,21.525299,-0.329213,100711.5938
2021-01-18_09:00:00,9.11203,226.756073,20.410461,1.466703,100703.8984
2021-01-18_10:00:00,10.361267,223.657471,20.315887,2.386828,100579.1484
2021-01-18_11:00:00,9.010937,203.580276,20.881866,2.246758,100990.0547
2021-01-18_12:00:00,9.744375,202.239395,20.485626,2.082757,101027.9922
2021-01-18_13:00:00,9.674154,208.400146,20.117706,1.586057,100735.4609
2021-01-18_14:00:00,5.809669,182.208588,19.721497,0.866689,101295.6094
2021-01-18_15:00:00,7.608239,200.176514,19.468323,0.033674,100783.3984
2021-01-18_16:00:00,8.224661,201.953979,19.111511,-0.600821,100346.6328
2021-01-18_17:00:00,5.909545,201.0383,18.833527,-0.522349,101264.1563
2021-01-18_18:00:00,6.334187,209.539749,18.226562,-0.60963,101007.3516
2021-01-18_19:00:00,7.442832,292.791931,14.868561,6.79495,101681.9453
2021-01-18_20:00:00,4.128533,309.921936,14.467529,7.56235,101744.1094
2021-01-18_21:00:00,2.73997,26.538574,13.6362,8.824381,101764.8828
2021-01-18_22:00:00,2.80455,29.527451,12.96814,8.975847,101438.0313
2021-01-18_23:00:00,2.410792,72.528809,12.261993,9.054588,101689.7422
2021-01-19_00:00:00,1.293581,190.73439,12.022156,8.287331,101632.875
