Z(m),WS(knots),WD(deg),Theta(K),Td(C),T(C)
 1369.33,  1.60, 72.26,  286.98,  1.96,  2.15
 1377.75,  1.64, 71.82,  286.97,  1.91,  2.05
 1387.49,  1.65, 71.37,  286.96,  1.86,  1.95
 1398.75,  1.65, 70.72,  286.97,  1.83,  1.85
 1411.71,  1.66, 69.61,  286.99,  1.75,  1.75
 1426.61,  1.70, 67.42,  287.05,  1.66,  1.66
 1443.68,  1.73, 66.46,  287.12,  1.56,  1.56
 1463.18,  1.78, 65.53,  287.20,  1.45,  1.45
 1485.41,  1.86, 65.54,  287.32,  1.35,  1.35
 1510.67,  1.90, 67.54,  287.46,  1.23,  1.23
 1539.31,  1.92, 71.75,  287.61,  1.10,  1.10
 1571.67,  1.90, 80.04,  287.75,  0.92,  0.92
 1608.15,  1.85, 92.38,  287.90,  0.69,  0.70
 1649.15,  1.86,116.07,  288.01,  0.40,  0.41
 1695.10,  2.49,141.35,  288.01, -0.05, -0.04
 1746.52,  3.58,138.84,  289.03, -0.35,  0.42
 1804.04,  4.62,130.42,  290.18, -1.03,  0.95
 1868.17,  5.44,128.64,  291.00, -1.65,  1.10
 1939.43,  5.95,133.03,  291.71, -2.26,  1.07
 2018.39,  6.28,141.41,  292.43, -2.99,  0.98
 2105.68,  6.53,151.27,  293.15, -3.92,  0.80
 2201.91,  6.73,161.21,  293.86, -5.06,  0.53
 2307.75,  6.91,170.86,  294.54, -6.39,  0.13
 2423.89,  7.12,180.36,  295.22, -7.91, -0.37
 2551.08,  7.38,189.87,  295.93, -9.63, -0.95
 2690.11,  7.68,199.60,  296.70,-11.62, -1.61
 2841.85,  8.05,209.83,  297.54,-14.03, -2.32
 3007.29,  8.60,220.91,  298.51,-17.17, -3.05
 3187.49,  9.51,233.01,  299.62,-21.24, -3.81
 3383.68, 11.04,244.86,  300.76,-25.64, -4.70
 3597.15, 13.22,253.70,  301.77,-29.13, -5.88
 3829.32, 15.68,258.29,  302.64,-31.15, -7.38
 4081.88, 18.16,259.40,  303.50,-32.48, -9.09
 4356.92, 20.67,258.68,  304.52,-34.22,-10.89
 4657.06, 23.29,257.82,  305.82,-37.12,-12.71
 4985.54, 25.99,257.70,  307.43,-41.51,-14.55
 5346.26, 28.59,258.02,  309.16,-47.13,-16.61
 5743.75, 30.76,258.08,  310.74,-52.57,-19.19
 6183.29, 32.36,257.48,  311.99,-55.59,-22.46
 6671.45, 33.76,256.50,  312.91,-56.37,-26.48
 7216.71, 35.81,256.21,  313.66,-56.97,-31.21
 7830.61, 39.45,257.14,  314.53,-58.27,-36.52
 8529.92, 44.77,257.71,  316.36,-60.39,-41.96
 9341.45, 50.70,256.15,  320.91,-63.26,-46.57
10309.28, 57.43,253.42,  329.59,-66.95,-49.94
11500.30, 66.75,252.81,  341.08,-72.03,-53.85
12992.75, 76.97,254.86,  353.68,-78.83,-60.35
14943.26, 80.37,256.07,  374.92,-80.45,-66.66
17889.15, 77.85,254.12,  429.69,-80.45,-65.43
24999.49, 77.85,247.20,  550.54,-80.45,-65.85
