Time,WS10,WD10,T2,TD2,P_sfc
2021-01-27_12:00:00,3.297483,56.89489,15.053131,5.746614,101766.8906
2021-01-27_13:00:00,2.428841,68.166168,14.346222,4.784004,101872.4375
2021-01-27_14:00:00,2.494913,85.749603,12.080292,4.9402,101805.8984
2021-01-27_15:00:00,1.942969,56.443199,10.572083,5.369557,101774.9453
2021-01-27_16:00:00,0.933308,304.357513,9.758575,5.632615,101813.4297
2021-01-27_17:00:00,1.767225,10.170898,9.103821,5.26484,101786.0391
2021-01-27_18:00:00,0.878283,266.650055,8.542511,5.00033,101829.9453
2021-01-27_19:00:00,2.404764,220.175171,8.311676,5.577885,101799.1563
2021-01-27_20:00:00,1.931463,232.968964,7.94223,5.796689,101723.75
2021-01-27_21:00:00,1.620888,193.925552,7.393555,5.947069,101712.4453
2021-01-27_22:00:00,1.363537,194.75563,6.913025,6.497234,101632.2969
2021-01-27_23:00:00,1.149625,146.529144,6.708679,6.524851,101630.6719
2021-01-28_00:00:00,0.948134,128.213226,6.990723,6.331373,101645.0938
2021-01-28_01:00:00,1.49173,123.368378,7.06131,6.254929,101641.3906
2021-01-28_02:00:00,2.503565,119.464722,7.536957,6.247801,101548.875
2021-01-28_03:00:00,2.765314,108.382729,8.050171,6.052884,101496.0703
2021-01-28_04:00:00,1.358412,200.463577,7.660675,6.430932,101115.9141
2021-01-28_05:00:00,1.522069,178.549789,8.428375,6.841429,101473.7969
2021-01-28_06:00:00,1.687424,201.683105,12.120697,5.306315,101105.5781
2021-01-28_07:00:00,3.208769,236.948761,16.962921,1.87972,100603.8672
2021-01-28_08:00:00,3.681868,241.536026,21.161346,-0.43565,100914.9922
2021-01-28_09:00:00,3.185712,234.826477,23.795288,-0.374295,101416.3047
2021-01-28_10:00:00,5.30354,264.741394,24.391754,0.916683,100342.7656
2021-01-28_11:00:00,2.951994,50.184479,21.829926,5.088597,101024.7891
2021-01-28_12:00:00,2.977191,70.790558,20.087219,7.499962,101460.4609
2021-01-28_13:00:00,2.038068,350.00177,19.307312,7.551646,100345.7344
2021-01-28_14:00:00,5.386433,82.533119,17.94397,7.681729,102116.3594
2021-01-28_15:00:00,1.522989,11.458008,16.402405,6.811388,101420.1641
2021-01-28_16:00:00,3.127509,297.401886,14.505859,9.265549,101520.5078
2021-01-28_17:00:00,3.817056,327.401489,13.543823,8.906433,100864.3828
2021-01-28_18:00:00,2.653847,316.171326,13.954041,8.394935,101116.0313
2021-01-28_19:00:00,1.440837,70.173943,14.125946,7.579996,101576.5703
2021-01-28_20:00:00,4.066661,108.464706,12.936066,9.815207,101136.6406
2021-01-28_21:00:00,2.138649,138.383392,13.88269,4.473891,101118.5234
