Z(m),WS(knots),WD(deg),Theta(K),Td(C),T(C)
 1369.39,  3.08,168.38,  292.48,  0.41,  6.98
 1377.94,  4.73,180.56,  292.87,  0.37,  7.27
 1387.85,  6.05,182.31,  293.07,  0.34,  7.36
 1399.30,  7.24,180.99,  293.23,  0.31,  7.40
 1412.50,  8.36,178.65,  293.37,  0.28,  7.41
 1427.66,  9.41,176.34,  293.50,  0.24,  7.40
 1445.04, 10.44,174.46,  293.64,  0.19,  7.35
 1464.91, 11.48,173.08,  293.78,  0.13,  7.30
 1487.55, 12.59,172.17,  293.95,  0.05,  7.24
 1513.28, 13.82,171.73,  294.13, -0.05,  7.16
 1542.45, 15.22,171.78,  294.33, -0.16,  7.06
 1575.42, 16.87,172.30,  294.54, -0.27,  6.94
 1612.59, 18.81,173.24,  294.76, -0.40,  6.79
 1654.37, 21.01,174.47,  295.00, -0.52,  6.61
 1701.22, 23.35,175.87,  295.25, -0.65,  6.39
 1753.60, 25.71,177.42,  295.51, -0.77,  6.13
 1812.02, 27.96,179.19,  295.77, -0.87,  5.80
 1876.99, 29.93,181.35,  296.04, -0.95,  5.42
 1949.06, 31.55,184.13,  296.34, -1.01,  5.00
 2028.83, 32.88,187.79,  296.72, -1.09,  4.58
 2116.92, 34.14,192.41,  297.25, -1.25,  4.21
 2214.00, 35.55,197.80,  297.91, -1.58,  3.89
 2320.77, 37.14,203.43,  298.65, -2.11,  3.53
 2437.92, 38.77,208.74,  299.35, -2.86,  3.04
 2566.16, 40.16,213.26,  299.94, -3.75,  2.33
 2706.19, 41.06,216.76,  300.35, -4.69,  1.34
 2858.76, 41.35,219.18,  300.60, -5.60,  0.08
 3024.67, 41.16,220.61,  300.74, -6.51, -1.41
 3204.84, 40.77,221.33,  300.88, -7.58, -3.05
 3400.34, 40.43,221.97,  301.12, -9.13, -4.73
 3612.45, 40.28,223.38,  301.59,-11.51, -6.39
 3842.66, 40.41,226.01,  302.26,-14.85, -8.04
 4092.76, 40.99,229.38,  303.08,-18.94, -9.76
 4364.82, 42.17,232.35,  303.97,-23.21,-11.65
 4661.31, 44.02,234.06,  304.92,-27.02,-13.73
 4985.27, 46.67,234.45,  305.97,-29.94,-16.00
 5340.44, 50.27,234.00,  307.16,-32.21,-18.47
 5731.40, 54.77,233.41,  308.47,-34.53,-21.20
 6163.89, 60.23,233.48,  309.95,-37.27,-24.22
 6645.35, 67.29,234.58,  311.74,-40.27,-27.49
 7185.50, 76.46,236.28,  313.93,-43.08,-31.05
 7797.32, 87.69,237.88,  316.60,-45.68,-34.96
 8498.22,101.31,239.27,  319.65,-48.84,-39.52
 9311.38,117.07,240.62,  322.36,-53.53,-45.47
10269.37,131.51,242.12,  324.61,-60.30,-53.20
11427.87,138.85,244.04,  330.04,-69.76,-60.80
12882.80,133.63,246.34,  348.12,-80.45,-63.52
14865.17,111.23,248.12,  391.47,-80.45,-57.34
18003.21, 74.62,242.59,  465.00,-80.45,-48.15
25205.32, 38.61,197.27,  545.92,-80.45,-67.44
